ruta;bloque;extension;bytes;lineas;sintaxis_ok;imports_relativos_no_resueltos;marcador_temporal_todo;usa_any
src/domain/decisiones/DecisionAdministrativa.ts;Dominio y expediente;.ts;1064;58;SI;0;NO;NO
src/domain/decisiones/DecisionMotivada.ts;Dominio y expediente;.ts;547;24;SI;0;NO;NO
src/domain/decisiones/EstadoDecision.ts;Dominio y expediente;.ts;254;19;SI;0;SI;NO
src/domain/decisiones/MotivacionJuridica.ts;Dominio y expediente;.ts;697;32;SI;0;NO;NO
src/domain/diagnostics/DiagnosticsCenter.ts;Arquitectura transversal/legacy;.ts;16697;1051;NO;0;SI;NO
src/domain/document-composer/types.ts;Motor documental y generación;.ts;47427;3388;SI;7;SI;NO
src/domain/documentModel/DocumentDefinition.ts;Motor documental y generación;.ts;1653;107;SI;0;NO;NO
src/domain/documentModel/DocumentGenerationContext.ts;Motor documental y generación;.ts;867;35;SI;0;SI;NO
src/domain/documentModel/DocumentModelEngine.ts;Motor documental y generación;.ts;2906;149;SI;0;SI;NO
src/domain/documentModel/DocumentRegistry.ts;Motor documental y generación;.ts;2728;151;SI;0;SI;NO
src/domain/documentModel/DocumentType.ts;Motor documental y generación;.ts;2949;133;SI;0;SI;NO
src/domain/documentModel/SectionDefinition.ts;Motor documental y generación;.ts;1716;131;SI;0;NO;NO
src/domain/documentModel/definitions/MemoryDefinition.ts;Motor documental y generación;.ts;9071;581;SI;0;NO;NO
src/domain/documental/BaseDocumentGenerator.ts;Motor documental y generación;.ts;2545;153;SI;1;SI;NO
src/domain/documental/ClauseBuilder.ts;Motor documental y generación;.ts;6077;378;SI;0;NO;NO
src/domain/documental/DocumentAssembler.ts;Motor documental y generación;.ts;5033;272;NO;5;NO;NO
src/domain/documental/DocumentContext.ts;Motor documental y generación;.ts;1729;119;SI;10;SI;NO
src/domain/documental/DocumentResult.ts;Motor documental y generación;.ts;1574;108;SI;0;SI;NO
src/domain/documental/LegalCitationBuilder.ts;Motor documental y generación;.ts;6005;360;SI;0;SI;NO
src/domain/documental/ParagraphBuilder.ts;Motor documental y generación;.ts;5347;321;SI;0;NO;NO
src/domain/documental/SectionBuilder.ts;Motor documental y generación;.ts;5143;309;SI;0;SI;NO
src/domain/documental/TemplateEngine.ts;Motor documental y generación;.ts;5113;344;SI;0;NO;NO
src/domain/documental/generators/MemoryGenerator.ts;Motor documental y generación;.ts;11844;639;SI;0;SI;NO
src/domain/documental/generators/NeedReportGenerator.ts;Motor documental y generación;.ts;5468;267;SI;0;SI;NO
src/domain/documental/generators/PCAPGenerator.ts;Motor documental y generación;.ts;21487;1149;SI;0;SI;NO
src/domain/documental/generators/PPTGenerator.ts;Motor documental y generación;.ts;16259;788;SI;0;SI;NO
src/domain/documentos/InformeInsuficienciaMedios.ts;Motor documental y generación;.ts;604;28;SI;0;NO;NO
src/domain/documentos/InformeProcedimiento.ts;Motor documental y generación;.ts;586;27;SI;0;NO;NO
src/domain/documentos/InformeSolvencia.ts;Motor documental y generación;.ts;397;23;SI;0;NO;NO
src/domain/documentos/MemoriaInsuficienciaMedios.ts;Motor documental y generación;.ts;467;25;SI;0;NO;NO
src/domain/documentos/MemoriaJustificativa.ts;Motor documental y generación;.ts;773;35;SI;0;NO;NO
src/domain/documentos/MemoriaNecesidad.ts;Motor documental y generación;.ts;508;27;SI;0;NO;NO
src/domain/documentos/PropuestaDivisionLotes.ts;Motor documental y generación;.ts;539;29;SI;0;NO;NO
src/domain/events/EventBus.ts;Arquitectura transversal/legacy;.ts;17415;1118;NO;0;SI;NO
src/domain/expediente/Contrato.ts;Dominio y expediente;.ts;575;25;SI;0;NO;NO
src/domain/expediente/CriterioAdjudicacion.ts;Dominio y expediente;.ts;733;34;SI;0;NO;NO
src/domain/expediente/CriterioSolvencia.ts;Dominio y expediente;.ts;463;25;SI;0;NO;NO
src/domain/expediente/DecisionLog.ts;Dominio y expediente;.ts;1064;55;SI;0;NO;SI
src/domain/expediente/EstadoExpediente.ts;Dominio y expediente;.ts;3519;222;SI;0;NO;NO
src/domain/expediente/Expediente.ts;Dominio y expediente;.ts;1716;98;SI;0;NO;NO
src/domain/expediente/ExpedienteContext.ts;Dominio y expediente;.ts;3210;120;SI;0;SI;NO
src/domain/expediente/ExpedienteContexto.ts;Dominio y expediente;.ts;1227;56;SI;0;SI;SI
src/domain/expediente/ExpedienteJournal.ts;Dominio y expediente;.ts;2444;165;SI;0;SI;NO
src/domain/expediente/ExpedienteTrace.ts;Dominio y expediente;.ts;1515;90;SI;0;NO;NO
src/domain/expediente/InsuficienciaMedios.ts;Dominio y expediente;.ts;575;28;SI;0;NO;NO
src/domain/expediente/Lote.ts;Dominio y expediente;.ts;528;29;SI;0;NO;NO
src/domain/expediente/NecesidadContrato.ts;Dominio y expediente;.ts;431;21;SI;0;NO;NO
src/domain/expediente/ObjetoContrato.ts;Dominio y expediente;.ts;519;23;SI;0;NO;NO
src/domain/expediente/PresupuestoBaseLicitacion.ts;Dominio y expediente;.ts;412;21;SI;0;NO;NO
src/domain/expediente/ProcedimientoContratacion.ts;Dominio y expediente;.ts;551;25;SI;0;NO;NO
src/domain/expediente/ResponsableContrato.ts;Dominio y expediente;.ts;546;29;SI;0;NO;NO
